platform_number,cycle_number,time,latitude,longitude,pres,temp,temp_qc,temp_adjusted,temp_adjusted_qc,psal,psal_qc,psal_adjusted,psal_adjusted_qc,data_mode,position_qc
,,UTC,degrees_north,degrees_east,decibar,degree_Celsius,,degree_Celsius,,PSU,,PSU,,,
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,4.3,27.511,1,27.511,1,35.606,1,35.60603,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,6.0,27.51,1,27.51,1,35.606,1,35.60593,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,8.0,27.514,1,27.514,1,35.606,1,35.60595,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,10.0,27.516,1,27.516,1,35.606,1,35.60581,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,12.0,27.522,1,27.522,1,35.608,1,35.60801,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,13.9,27.522,1,27.522,1,35.608,1,35.60794,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,16.0,27.524,1,27.524,1,35.608,1,35.60801,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,18.0,27.524,1,27.524,1,35.609,1,35.60901,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,20.0,27.524,1,27.524,1,35.608,1,35.60808,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,22.0,27.522,1,27.522,1,35.609,1,35.60904,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,24.0,27.521,1,27.521,1,35.609,1,35.60904,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,26.0,27.52,1,27.52,1,35.609,1,35.60898,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,28.0,27.521,1,27.521,1,35.609,1,35.60902,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,30.0,27.521,1,27.521,1,35.609,1,35.60931,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,32.0,27.51,1,27.51,1,35.624,1,35.62463,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,34.0,27.484,1,27.484,1,35.651,1,35.65317,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,36.0,27.385,1,27.385,1,35.763,1,35.76546,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,38.0,27.279,1,27.279,1,35.919,1,35.9201,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,40.0,27.232,1,27.232,1,35.941,1,35.94175,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,42.0,27.203,1,27.203,1,35.942,1,35.94337,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,44.0,27.154,1,27.154,1,35.95,1,35.95377,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,46.0,27.025,1,27.025,1,35.964,1,35.9678,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,48.0,26.903,1,26.903,1,35.954,1,35.95535,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,50.0,26.863,1,26.863,1,35.953,1,35.95475,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,52.0,26.805,1,26.805,1,35.949,1,35.94985,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,54.0,26.775,1,26.775,1,35.948,1,35.94849,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,56.0,26.756,1,26.756,1,35.947,1,35.94757,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,58.0,26.733,1,26.733,1,35.945,1,35.94525,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,60.0,26.723,1,26.723,1,35.943,1,35.94324,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,62.0,26.713,1,26.713,1,35.945,1,35.94482,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,64.0,26.721,1,26.721,1,35.988,1,35.98791,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,66.0,26.726,1,26.726,1,35.997,1,35.99909,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,68.0,26.635,1,26.635,1,35.986,1,35.98739,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,70.0,26.577,1,26.577,1,35.977,1,35.97892,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,72.0,26.498,1,26.498,1,35.966,1,35.97224,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,74.1,26.22,1,26.22,1,35.943,1,35.95513,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,76.0,25.612,1,25.612,1,35.91,1,35.92187,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,78.0,24.75,1,24.75,1,35.864,1,35.87204,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,80.0,24.237,1,24.237,1,35.795,1,35.80656,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,82.0,23.533,1,23.533,1,35.725,1,35.73205,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,84.0,23.19,1,23.19,1,35.706,1,35.70982,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,86.0,23.011,1,23.011,1,35.695,1,35.69995,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,88.0,22.798,1,22.798,1,35.708,1,35.71194,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,90.0,22.631,1,22.631,1,35.701,1,35.71041,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,92.1,22.274,1,22.274,1,35.692,1,35.69482,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,94.1,22.161,1,22.161,1,35.68,1,35.68156,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,96.0,22.067,1,22.067,1,35.674,1,35.67604,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,98.0,21.907,1,21.907,1,35.663,1,35.66776,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,100.0,21.565,1,21.565,1,35.637,1,35.64174,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,102.0,21.256,1,21.256,1,35.609,1,35.61781,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,104.0,20.806,1,20.806,1,35.566,1,35.5666,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,106.0,20.778,1,20.778,1,35.56,1,35.56237,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,108.0,20.662,1,20.662,1,35.545,1,35.55349,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,109.9,20.297,1,20.297,1,35.503,1,35.51387,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,112.0,19.912,1,19.912,1,35.472,1,35.48101,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,114.0,19.616,1,19.616,1,35.438,1,35.44414,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,116.0,19.436,1,19.436,1,35.421,1,35.4235,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,118.0,19.365,1,19.365,1,35.416,1,35.41914,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,120.0,19.28,1,19.28,1,35.414,1,35.41818,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,122.0,19.167,1,19.167,1,35.412,1,35.41746,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,124.0,19.026,1,19.026,1,35.416,1,35.41742,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,126.0,18.988,1,18.988,1,35.42,1,35.42185,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,128.0,18.937,1,18.937,1,35.427,1,35.42817,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,130.0,18.904,1,18.904,1,35.456,1,35.45712,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,132.0,18.874,1,18.874,1,35.465,1,35.46967,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,134.0,18.732,1,18.732,1,35.483,1,35.49986,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,136.0,18.187,1,18.187,1,35.481,1,35.49168,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,138.0,17.872,1,17.872,1,35.45,1,35.45934,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,140.0,17.583,1,17.583,1,35.432,1,35.43521,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,142.0,17.485,1,17.485,1,35.424,1,35.42623,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,144.0,17.413,1,17.413,1,35.429,1,35.43248,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,146.0,17.304,1,17.304,1,35.444,1,35.44815,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,148.0,17.177,1,17.177,1,35.453,1,35.4547,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,150.0,17.13,1,17.13,1,35.452,1,35.45905,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,152.0,16.917,1,16.917,1,35.442,1,35.44805,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,154.0,16.735,1,16.735,1,35.422,1,35.42774,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,156.0,16.58,1,16.58,1,35.407,1,35.41636,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,158.0,16.334,1,16.334,1,35.376,1,35.38587,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,160.0,16.046,1,16.046,1,35.341,1,35.34452,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,162.0,15.945,1,15.945,1,35.328,1,35.33088,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,164.0,15.842,1,15.842,1,35.321,1,35.32273,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,166.0,15.778,1,15.778,1,35.319,1,35.31912,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,168.0,15.774,1,15.774,1,35.327,1,35.32685,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,170.0,15.78,1,15.78,1,35.342,1,35.34185,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,172.0,15.787,1,15.787,1,35.364,1,35.3662,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,174.0,15.703,1,15.703,1,35.406,1,35.41409,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,176.0,15.416,1,15.416,1,35.409,1,35.41677,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,178.0,15.148,1,15.148,1,35.4,1,35.40094,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,180.0,15.119,1,15.119,1,35.403,1,35.40486,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,182.0,15.065,1,15.065,1,35.409,1,35.411,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,184.0,15.008,1,15.008,1,35.42,1,35.42074,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,186.0,14.987,1,14.987,1,35.427,1,35.42813,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,188.0,14.956,1,14.956,1,35.444,1,35.44436,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,190.0,14.947,1,14.947,1,35.456,1,35.45597,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,192.0,14.948,1,14.948,1,35.459,1,35.45888,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,194.1,14.952,1,14.952,1,35.464,1,35.4644,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,196.0,14.943,1,14.943,1,35.468,1,35.46891,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,198.0,14.924,1,14.924,1,35.467,1,35.46945,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,200.0,14.87,1,14.87,1,35.466,1,35.46854,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,202.0,14.813,1,14.813,1,35.463,1,35.46482,1,D,1
1902189,210,2024-02-08T19:25:41Z,6.8188,50.4851,204.0,14.769,1,14.769,1,35.461,1,35.46142,1,D,1
