platform_number,cycle_number,time,latitude,longitude,pres,temp,temp_qc,temp_adjusted,temp_adjusted_qc,psal,psal_qc,psal_adjusted,psal_adjusted_qc,data_mode,position_qc
,,UTC,degrees_north,degrees_east,decibar,degree_Celsius,,degree_Celsius,,PSU,,PSU,,,
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,4.1,29.509,1,29.509,1,35.209,1,35.20898,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,6.0,29.51,1,29.51,1,35.208,1,35.20784,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,8.0,29.516,1,29.516,1,35.208,1,35.20801,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,10.0,29.516,1,29.516,1,35.208,1,35.20801,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,12.0,29.516,1,29.516,1,35.208,1,35.208,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,14.0,29.516,1,29.516,1,35.208,1,35.20787,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,16.0,29.52,1,29.52,1,35.208,1,35.20798,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,18.0,29.521,1,29.521,1,35.208,1,35.20802,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,20.0,29.521,1,29.521,1,35.208,1,35.20811,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,22.0,29.518,1,29.518,1,35.208,1,35.20807,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,24.0,29.516,1,29.516,1,35.208,1,35.20795,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,26.0,29.518,1,29.518,1,35.208,1,35.20808,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,28.0,29.516,1,29.516,1,35.209,1,35.20905,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,30.0,29.515,1,29.515,1,35.208,1,35.20808,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,32.0,29.513,1,29.513,1,35.208,1,35.20802,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,34.0,29.513,1,29.513,1,35.208,1,35.20808,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,36.0,29.511,1,29.511,1,35.208,1,35.20808,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,38.0,29.509,1,29.509,1,35.208,1,35.20818,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,40.0,29.504,1,29.504,1,35.207,1,35.20744,1,D,1
1902189,214,2024-03-19T19:10:53Z,5.4855,50.2925,42.0,29.49,1,29.49,1,35.206,1,35.2062,1,D,1
