platform_number,cycle_number,time,latitude,longitude,pres,temp,temp_qc,temp_adjusted,temp_adjusted_qc,psal,psal_qc,psal_adjusted,psal_adjusted_qc,data_mode,position_qc
,,UTC,degrees_north,degrees_east,decibar,degree_Celsius,,degree_Celsius,,PSU,,PSU,,,
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,4.1,31.077,1,31.077,1,34.434,1,34.434,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,6.0,31.074,1,31.074,1,34.449,1,34.449,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,8.0,31.065,1,31.065,1,34.452,1,34.452,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,10.0,31.061,1,31.061,1,34.453,1,34.453,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,12.0,31.053,1,31.053,1,34.453,1,34.453,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,14.0,31.05,1,31.05,1,34.454,1,34.454,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,16.0,31.046,1,31.046,1,34.456,1,34.456,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,18.1,31.038,1,31.038,1,34.455,1,34.455,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,20.0,31.032,1,31.032,1,34.47,1,34.47,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,22.1,30.987,1,30.987,1,34.566,1,34.566,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,23.9,30.967,1,30.967,1,34.614,1,34.614,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,26.1,30.783,1,30.783,1,34.898,1,34.898,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,28.0,30.504,1,30.504,1,35.192,1,35.192,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,29.7,29.879,1,29.879,1,35.567,1,35.567,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,32.0,28.938,1,28.938,1,35.584,1,35.584,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,34.0,28.649,1,28.649,1,35.62,1,35.62,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,36.0,28.628,1,28.628,1,35.632,1,35.632,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,37.9,28.639,1,28.639,1,35.651,1,35.651,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,40.0,28.776,1,28.776,1,35.784,1,35.784,1,A,1
1902286,28,2025-05-04T13:14:53Z,5.0307,62.5193,42.0,28.991,1,28.991,1,36.011,1,36.011,1,A,1
